event_type,weight
visited_digital_vehicle_garage,0.0
interacted_with_insurance_offer,0.0
interacted_with_carsale_offer,0.0
calculator_search,0.1
vehicle_added_in_garage,0.4
marketplace_vehicle_search,0.2
marketplace_vdp_visit,0.3
lead_created,0.6
application_start_marketplace,0.7
application_start_not_marketplace,0.7
application_submitted,0.9
application_approved,1.2
application_rejected,0.0
application_booked,0.0
prequalification_approved,0.0
prequalification_rejected,0.0
prequalification_approved_with_amount,0.0
preapproved_offer,0.0
marketplace_favorited_vehicle,0.45
